N,MC128_KC64_NC128,MC16_KC64_NC16,MC256_KC64_NC256,MC32_KC64_NC32,MC64_KC64_NC64,MC96_KC64_NC96
N16,0.1179,0.1179,0.1179,0.1179,0.1179,0.1179
N32,0.1390,0.1304,0.1390,0.1390,0.1390,0.1390
N48,0.1895,0.1512,0.1895,0.1641,0.1864,0.1895
N64,0.2667,0.1675,0.2667,0.1920,0.2667,0.2667
N80,0.2281,0.1449,0.2281,0.1648,0.2147,0.2281
N96,0.2430,0.1478,0.2430,0.1686,0.2096,0.2430
N112,0.2567,0.1556,0.2567,0.1740,0.2284,0.2443
N128,0.2587,0.1637,0.2587,0.1898,0.2670,0.2429
N144,0.2336,0.1503,0.2447,0.1715,0.2342,0.2300
N160,0.2360,0.1524,0.2513,0.1721,0.2294,0.2477
N176,0.2431,0.1573,0.2533,0.1766,0.2409,0.2595
N192,0.2614,0.1618,0.2551,0.1857,0.2676,0.2617
N208,0.2480,0.1525,0.2491,0.1744,0.2439,0.2411
N224,0.2536,0.1540,0.2500,0.1738,0.2394,0.2410
N240,0.2567,0.1575,0.2513,0.1762,0.2469,0.2495
N256,0.2579,0.1660,0.2528,0.1845,0.2667,0.2625
N512,0.2569,0.1647,0.2517,0.1800,0.2659,0.2551
